reference,class_id
2013_09_17_13,3.0
2013_09_17_14,3.0
2013_09_17_15,3.0
2013_09_17_16,3.0
2013_09_17_17,3.0
2013_09_18_06,4.0
2013_09_18_07,4.0
2013_09_18_08,4.0
2013_09_18_09,4.0
2013_09_18_10,4.0
2013_09_18_11,4.0
2013_09_18_12,4.0
2013_09_18_13,3.0
2013_09_18_14,3.0
2013_09_18_15,3.0
2013_09_18_16,3.0
2013_09_18_17,3.0
2013_09_19_06,4.0
2013_09_19_07,4.0
2013_09_19_08,4.0
2013_09_19_09,4.0
2013_09_19_10,4.0
2013_09_19_11,4.0
2013_09_19_12,4.0
2013_09_19_13,4.0
2013_09_19_14,3.0
2013_09_19_15,3.0
2013_09_19_16,3.0
2013_09_19_17,3.0
2013_09_20_06,3.0
2013_09_20_07,4.0
2013_09_20_08,4.0
2013_09_20_09,4.0
2013_09_20_10,4.0
2013_09_20_11,4.0
2013_09_20_12,4.0
2013_09_20_13,4.0
2013_09_20_14,3.0
2013_09_23_10,4.0
2013_09_23_11,4.0
2013_09_23_12,4.0
2013_09_23_13,4.0
2013_09_23_14,4.0
2013_09_23_15,4.0
2013_09_23_16,3.0
2013_09_23_17,3.0
2013_09_24_06,3.0
2013_09_24_07,3.0
2013_09_24_08,3.0
2013_09_24_09,4.0
2013_09_24_10,4.0
2013_09_24_11,4.0
2013_09_24_12,4.0
2013_09_24_13,4.0
2013_09_24_14,4.0
2013_09_24_15,4.0
2013_09_24_16,3.0
2013_09_24_17,3.0
2013_09_25_06,3.0
2013_09_26_06,3.0
2013_09_26_07,3.0
2013_09_26_08,3.0
2013_09_26_09,3.0
2013_09_26_10,3.0
2013_09_26_11,3.0
2013_09_26_12,3.0
2013_09_26_13,4.0
2013_09_26_14,4.0
2013_09_26_15,4.0
2013_09_26_16,3.0
2013_09_26_17,3.0
2013_09_27_06,3.0
2013_09_27_07,3.0
2013_09_27_08,3.0
2013_09_27_09,3.0
2013_09_27_10,3.0
2013_09_27_11,3.0
2013_09_27_12,3.0
2013_09_27_13,3.0
2013_09_27_14,3.0
2013_09_27_15,4.0
2013_09_27_16,4.0
2013_09_27_17,4.0
2013_09_28_06,4.0
2013_09_28_07,4.0
2013_09_28_08,3.0
2013_09_28_09,3.0
2013_09_28_10,3.0
2013_09_28_11,3.0
2013_09_28_12,3.0
2013_09_28_13,3.0
2013_09_28_14,3.0
2013_09_28_15,4.0
2013_09_28_16,4.0
2013_09_28_17,4.0
2013_09_29_06,4.0
2013_09_29_07,4.0
2013_09_29_08,4.0
2013_09_29_09,3.0
2013_09_29_10,3.0
2013_09_29_11,3.0
2013_09_29_12,3.0
2013_09_29_13,3.0
2013_09_29_14,3.0
2013_09_29_15,3.0
2013_09_29_16,3.0
2013_09_29_17,4.0
2013_09_30_06,4.0
2013_09_30_07,4.0
2013_09_30_08,4.0
2013_09_30_09,4.0
2013_09_30_10,3.0
2013_09_30_11,3.0
2013_09_30_13,3.0
2013_09_30_14,3.0
2013_09_30_15,3.0
2013_09_30_16,3.0
2013_09_30_17,4.0
2013_10_01_06,4.0
2013_10_01_07,4.0
2013_10_01_08,4.0
2013_10_01_09,4.0
2013_10_01_10,4.0
2013_10_01_11,3.0
2013_10_01_12,3.0
2013_10_01_13,3.0
2013_10_01_14,3.0
2013_10_01_15,3.0
2013_10_01_16,3.0
2013_10_01_17,4.0
2013_10_02_06,4.0
2013_10_02_07,4.0
2013_10_02_08,4.0
2013_10_02_09,4.0
2013_10_02_10,4.0
2013_10_02_11,3.0
2013_10_02_12,3.0
2013_10_02_13,3.0
2013_10_02_14,3.0
2013_10_02_15,3.0
2013_10_02_16,3.0
2013_10_02_17,3.0
2013_10_03_06,4.0
2013_10_03_07,4.0
2013_10_03_08,4.0
2013_10_03_09,4.0
2013_10_03_10,4.0
2013_10_03_11,4.0
2013_10_03_12,3.0
2013_10_03_13,3.0
2013_10_03_14,3.0
2013_10_03_15,3.0
2013_10_03_16,3.0
2013_10_03_17,3.0
2013_10_04_06,3.0
2013_10_04_07,4.0
2013_10_04_08,4.0
2013_10_04_09,4.0
2013_10_04_10,4.0
2013_10_04_11,4.0
2013_10_04_12,3.0
2013_10_04_13,3.0
2013_10_04_14,3.0
2013_10_04_15,3.0
2013_10_04_16,3.0
2013_10_04_17,3.0
2013_10_05_06,3.0
2013_10_05_07,3.0
2013_10_05_08,4.0
2013_10_05_09,4.0
2013_10_05_10,4.0
2013_10_05_11,4.0
2013_10_05_12,4.0
2013_10_05_13,3.0
2013_10_05_14,3.0
2013_10_05_15,3.0
2013_10_05_16,3.0
2013_10_05_17,3.0
2013_10_06_06,3.0
2013_10_06_07,3.0
2013_10_06_08,4.0
2013_10_06_09,4.0
2013_10_06_10,4.0
2013_10_06_11,4.0
2013_10_06_12,4.0
2013_10_06_13,3.0
2013_10_06_14,3.0
2013_10_06_15,3.0
2013_10_06_16,1.0
2013_10_06_17,1.0
2013_10_07_06,3.0
2013_10_07_07,3.0
2013_10_07_08,3.0
2013_10_07_09,4.0
2013_10_07_10,4.0
2013_10_07_11,4.0
2013_10_07_12,4.0
2013_10_07_13,4.0
2013_10_07_14,3.0
2013_10_07_15,3.0
2013_10_07_16,3.0
2013_10_07_17,3.0
2013_10_08_06,3.0
2013_10_08_07,3.0
2013_10_08_08,3.0
2013_10_08_09,4.0
2013_10_08_10,4.0
2013_10_08_11,4.0
2013_10_08_12,4.0
2013_10_08_13,4.0
2013_10_08_14,4.0
2013_10_08_15,3.0
2013_10_08_16,3.0
2013_10_08_17,3.0
2013_10_09_06,3.0
2013_10_09_07,3.0
2013_10_09_08,3.0
2013_10_09_09,4.0
2013_10_09_10,4.0
2013_10_09_11,4.0
2013_10_09_12,4.0
2013_10_09_13,4.0
2013_10_09_14,4.0
2013_10_09_15,4.0
2013_10_09_16,3.0
2013_10_09_17,3.0
2013_10_10_06,3.0
2013_10_10_07,3.0
2013_10_10_08,3.0
2013_10_10_09,3.0
2013_10_10_10,3.0
2013_10_10_11,4.0
2013_10_10_12,4.0
2013_10_10_13,4.0
2013_10_10_14,4.0
2013_10_10_15,4.0
2013_10_10_16,4.0
2013_10_10_17,3.0
2013_10_11_06,3.0
2013_10_11_07,3.0
2013_10_11_08,3.0
2013_10_11_09,3.0
2013_10_11_10,3.0
2013_10_11_11,3.0
2013_10_11_12,4.0
2013_10_11_13,4.0
2013_10_11_14,4.0
2013_10_11_15,4.0
2013_10_11_16,4.0
2013_10_11_17,4.0
2013_10_12_06,4.0
2013_10_12_07,4.0
2013_10_12_08,4.0
2013_10_12_09,3.0
2013_10_12_10,3.0
2013_10_12_11,4.0
2013_10_12_12,4.0
2013_10_12_13,4.0
2013_10_12_14,4.0
2013_10_12_15,4.0
2013_10_12_16,4.0
2013_10_12_17,4.0
2013_10_13_06,4.0
2013_10_13_07,4.0
2013_10_13_08,4.0
2013_10_13_09,4.0
2013_10_13_10,4.0
2013_10_13_11,4.0
2013_10_13_12,4.0
2013_10_13_13,4.0
2013_10_13_14,4.0
2013_10_13_15,4.0
2013_10_13_16,4.0
2013_10_13_17,4.0
2013_10_14_06,4.0
2013_10_14_07,4.0
2013_10_14_08,4.0
2013_10_14_09,4.0
2013_10_14_10,4.0
2013_10_14_11,3.0
2013_10_14_12,3.0
2013_10_14_13,3.0
2013_10_14_14,3.0
2013_10_14_15,4.0
2013_10_14_17,4.0
2013_10_15_06,4.0
2013_10_15_07,4.0
2013_10_15_08,4.0
2013_10_15_09,4.0
2013_10_15_10,4.0
2013_10_15_11,4.0
2013_10_15_12,3.0
2013_10_15_13,3.0
2013_10_15_14,3.0
2013_10_15_15,3.0
2013_10_15_16,4.0
2013_10_15_17,4.0
2013_10_16_06,4.0
2013_10_16_07,4.0
2013_10_16_08,4.0
2013_10_16_09,4.0
2013_10_16_11,4.0
2013_10_16_12,3.0
2013_10_16_13,3.0
2013_10_16_14,3.0
2013_10_16_15,3.0
2013_10_16_16,3.0
2013_10_16_17,4.0
2013_10_17_06,4.0
2013_10_17_07,4.0
2013_10_17_08,4.0
2013_10_17_09,4.0
2013_10_17_10,4.0
2013_10_17_11,4.0
2013_10_17_12,3.0
2013_10_17_13,3.0
2013_10_17_14,3.0
2013_10_17_15,3.0
2013_10_17_16,3.0
2013_10_17_17,3.0
2013_10_18_06,3.0
2013_10_18_07,4.0
2013_10_18_08,4.0
2013_10_18_09,4.0
2013_10_18_10,4.0
2013_10_18_11,4.0
2013_10_18_12,4.0
2013_10_18_13,3.0
2013_10_18_14,3.0
2013_10_18_15,3.0
2013_10_18_16,3.0
2013_10_18_17,3.0
2013_10_19_06,3.0
2013_10_19_07,4.0
2013_10_19_08,4.0
2013_10_19_09,4.0
2013_10_19_10,4.0
2013_10_19_11,4.0
2013_10_19_12,4.0
2013_10_19_13,3.0
2013_10_19_14,3.0
2013_10_19_15,3.0
2013_10_19_16,3.0
2013_10_19_17,3.0
2013_10_20_06,3.0
2013_10_20_07,3.0
2013_10_20_08,3.0
2013_10_20_09,4.0
2013_10_20_10,4.0
2013_10_20_11,4.0
2013_10_20_12,4.0
2013_10_20_13,4.0
2013_10_20_14,4.0
2013_10_20_15,3.0
2013_10_20_16,3.0
2013_10_20_17,3.0
2013_10_21_06,3.0
2013_10_21_07,3.0
2013_10_21_08,4.0
2013_10_21_09,4.0
2013_10_21_10,4.0
2013_10_21_11,4.0
2013_10_21_12,4.0
2013_10_21_13,4.0
2013_10_21_14,4.0
2013_10_21_15,4.0
2013_10_21_16,3.0
2013_10_21_17,3.0
2013_10_22_06,3.0
2013_10_22_07,3.0
2013_10_22_08,4.0
2013_10_22_09,4.0
2013_10_22_10,4.0
2013_10_22_11,4.0
2013_10_22_12,4.0
2013_10_22_13,4.0
2013_10_22_14,4.0
2013_10_22_15,4.0
2013_10_22_16,4.0
2013_10_22_17,4.0
2013_10_23_06,3.0
2013_10_23_07,3.0
2013_10_23_08,3.0
2013_10_23_09,4.0
2013_10_23_10,4.0
2013_10_23_11,4.0
2013_10_23_12,4.0
2013_10_23_13,4.0
2013_10_23_14,4.0
2013_10_23_15,4.0
2013_10_23_16,4.0
2013_10_23_17,4.0
2013_10_24_06,3.0
2013_10_24_07,3.0
2013_10_24_08,3.0
2013_10_24_09,4.0
2013_10_24_10,4.0
2013_10_24_12,4.0
2013_10_24_14,4.0
2013_10_24_15,4.0
2013_10_24_16,4.0
2013_10_24_17,4.0
2013_10_25_06,4.0
2013_10_25_07,3.0
2013_10_25_08,3.0
2013_10_25_09,3.0
2013_10_25_10,4.0
2013_10_25_11,4.0
2013_10_25_12,4.0
2013_10_25_13,4.0
2013_10_25_14,4.0
2013_10_25_15,4.0
2013_10_25_16,4.0
2013_10_25_17,4.0
2013_10_26_06,3.0
2013_10_26_07,4.0
2013_10_26_08,3.0
2013_10_26_09,3.0
2013_10_26_10,3.0
2013_10_26_11,3.0
2013_10_26_12,3.0
2013_10_26_13,4.0
2013_10_26_14,4.0
2013_10_26_15,4.0
2013_10_26_16,4.0
2013_10_27_06,4.0
2013_10_27_07,4.0
2013_10_27_08,4.0
2013_10_27_09,3.0
2013_10_27_10,3.0
2013_10_27_11,3.0
2013_10_27_12,3.0
